"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-02-28,82808,"56353","MN","Minneapolis-St. Paul-Bloomington","Mille Lacs County","Milaca",9029,175700,-0.00340328984685196,0.00630011454753723,0.0256859311150029,0.0595053997916923,0.0333175500366898,"2019-01","2019-Q1",176300,-0.00340328984685196,"2018-12"
2019-02-28,62474,"12204","NY","Albany-Schenectady-Troy","Albany County","Menands",9030,205400,0.00341963849535906,0.00341963849535906,0.0759559979046621,0.0397830821203922,0.0155674600851434,"2019-02","2019-Q1",205400,0,"2019-02"
2019-02-28,62436,"12159","NY","Albany-Schenectady-Troy","Albany County","Slingerlands",9031,367100,0.00327958458595245,-0.00163176502583628,0.0518624641833811,0.0240315962223894,0.00713694686006616,"2018-11","2018-Q4",367700,-0.00163176502583628,"2018-11"
2019-02-28,68015,"24148","VA","Martinsville","Henry County","Ridgeway",9032,81400,-0.00245098039215686,0.00246305418719212,0.0316856780735108,0.0237105234646469,0.00161123854561973,"2006-08","2006-Q3",105700,-0.229895931882687,
2019-02-28,83512,"58075","ND","Wahpeton","Richland County","Wahpeton",9033,136600,0.00146627565982405,-0.000731528895391368,0.0103550295857988,0.0279707268544727,0.0331357228183429,"2018-10","2018-Q4",137100,-0.00364697301239971,"2018-09"
2019-02-28,417457,"54482","WI","Stevens Point","Portage County","Stevens Point",9034,197200,-0.00202429149797571,0.00407331975560081,0.0389884088514226,0.0402363181145489,0.0211244914937379,"2019-01","2019-Q1",197600,-0.00202429149797571,"2019-01"
2019-02-28,78950,"48074","MI","Detroit-Warren-Dearborn","Saint Clair County","Smiths Creek",9035,133800,-0.00149253731343284,-0.0066815144766147,0.111295681063123,0.0916641880423266,0.0349490973544295,"2018-10","2018-Q4",135700,-0.0140014738393515,"2018-08"
2019-02-28,92161,"77957","TX",,"Jackson County","Edna",9036,130200,-0.0053475935828877,-0.0053475935828877,0.0525464834276475,0.0721587507626127,0.0463044315434149,"2018-12","2018-Q4",131000,-0.00610687022900763,"2018-10"
2019-02-28,71764,"32064","FL",,"Suwannee County","Live Oak",9037,91000,0.00220264317180617,0.0201793721973094,0.0990338164251208,0.0706004518199053,0.0120845280558646,"2006-10","2006-Q4",101800,-0.106090373280943,"2005-12"
2019-02-28,73931,"36551","AL","Daphne-Fairhope-Foley","Baldwin County","Loxley",9038,170100,0.00472533963378618,0.018562874251497,0.0786303107165504,0.0498075621019627,0.0143579313320426,"2019-02","2019-Q1",170100,0,"2019-02"
2019-02-28,99651,"98239","WA","Oak Harbor","Island County","Coupeville",9039,402200,0.0029925187032419,0.0118238993710692,0.0468505986465383,0.0879289541050619,0.0225842527414348,"2019-02","2019-Q1",402200,0,"2019-02"
2019-02-28,62912,"13037","NY","Syracuse","Madison County","Sullivan",9040,131500,0.00076103500761035,-0.00151860288534548,-0.0149812734082397,0.0166145519006446,0.0112344190073279,"2018-08","2018-Q3",137600,-0.0443313953488372,"2017-12"
2019-02-28,90229,"74015","OK","Tulsa","Rogers County","Catoosa",9041,152200,-0.00327439423706614,0.00528401585204756,0.0325644504748982,0.0460866865392975,0.0193138786701572,"2019-01","2019-Q1",152700,-0.00327439423706614,"2018-12"
2019-02-28,88982,"71251","LA",,"Jackson Parish","Jonesboro",9042,52900,-0.0075046904315197,-0.0203703703703704,-0.00936329588014981,0.0324186139359282,0.0179001880113989,"2018-11","2018-Q4",54000,-0.0203703703703704,"2017-12"
